timestamp,Opening,Closing
26-10-2023 09:15,19027.25,18962.94922
26-10-2023 09:30,18961,18932.05078
26-10-2023 15:00,18872.84961,18859.55078
26-10-2023 15:15,18859.90039,18848.5
27-10-2023 09:15,18928.75,18968.09961
27-10-2023 09:30,18967.25,18992.09961
27-10-2023 15:00,19065.69922,19036.84961
27-10-2023 15:15,19037.40039,19060.5
30-10-2023 09:15,19053.40039,19013.55078
30-10-2023 09:30,19012.55078,18946.5
30-10-2023 15:00,19128.65039,19138.40039
30-10-2023 15:15,19138.44922,19148.84961
31-10-2023 09:15,19232.94922,19159.59961
31-10-2023 09:30,19157.75,19164.90039
31-10-2023 15:00,19115.90039,19091.19922
31-10-2023 15:15,19091.40039,19086.55078
01-11-2023 09:15,19064.05078,19070.65039
01-11-2023 09:30,19071.25,19078.34961
01-11-2023 15:00,19011.5,18990.59961
01-11-2023 15:15,18990.40039,18990.40039
